Component name,Details,Qty,Where to buy,Exclude from BOM,Exclude from Board,Footprint,Datasheet
Case,Nylon,1,printing-legion,,,Diode_THT:D_DO-35_SOD27_P3.81mm_Vertical_KathodeUp,
Plate,Nylon,1,printing-legion,,,ScottoKeebs_MX:MX_PCB_1.00u,~
Switches,Akko V3 Creamy Purple Pro,83,https://stackskb.com/store/akko-v3-creamy-purple-pro-switch-pack-of-45/?srsltid=AfmBOooB9nuAL8NUkWbRpJ7EF3wC-SDj-OtV86xvncoUzQ3ghMLCWIeDduM,,,ScottoKeebs_MX:MX_PCB_2.00u,~
Keycaps,Color PBT,83 keycaps,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/colour-pbt-keycaps/,,,ScottoKeebs_MX:MX_PCB_1.50u,~
M2 nuts and bolts,15 mm height,8,Local vendor,,,ScottoKeebs_MX:MX_PCB_1.75u,~
Microcontroller,Raspberry Pi Pico,1,https://quartzcomponents.com/products/raspberry-pi-pico?variant=37945289801912&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooph4yAOKlaXOlzuqV4wVWYXD59shyxalMg0NoKKp0ef7S1frVsyPs,,,ScottoKeebs_MX:MX_PCB_2.25u,~
Stabilizers,4 x 2u + 1 x 6u,5,https://www.genesispc.in/products/durock-plate-mount-stabilizers-6-25u-4x2u-black?variant=43129560924213,,,ScottoKeebs_MX:MX_PCB_2.75u,~
Diodes,1n4148,83,https://www.ktron.in/product/diode-1n4148-th/?srsltid=AfmBOoqAQ2ie58oqGB9lnuLERS_E0bK5uivKzd28IHgtJRiMNgbBmKTvdes,,,ScottoKeebs_MX:MX_PCB_1.25u,~
,,,,,,Stabilizers:Stabilizer_Cherry_MX_6.25u,~
,,,,,,ScottoKeebs_MCU:Raspberry_Pi_Pico,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,Placement,,,
